,Standard Deviation
Skill issue,1.6122792933337500
Alpha,1.5705455595614300
Gyatt,1.5424271215461500
Chronically online,1.5269781846417300
Rizzler,1.4836065455003800
Mogging,1.4526620177498800
Sigma,1.451605021052610
looksmaxxing,1.4496732340086000
Body tea,1.4279026151511200
Mog,1.4252751647847900
npc behavior,1.407801126789050
snatched,1.4057329675600500
Queening,1.4022973414061400
goofy ahh,1.3977356027037800
bedrotting,1.3909920511441800
nonchalant dreadhead,1.3747374079257500
Edging,1.3719886811400700
tiktok rizz party,1.3489517628745400
girl dinner,1.3440659991093000
Eating,1.3416407864998700
Diva,1.3410673948703700
Skibidi,1.3377320973725900
freakbob,1.333142280391830
Brat,1.3199249848123900
yap,1.3178371211462900
face card,1.3169492194171300
mewing,1.314751470267830
flop,1.3097297083658100
mew,1.2931352941743700
Pookie,1.266211402778620
Roman Empire,1.2635356155228300
Serving,1.2525835370311200
Delulu,1.2307314512768000
sussy baka,1.2275091290703600
Giving,1.2027540948669000
Slay,1.2013143097894800
queen,1.1976847625235100
Ate,1.1966851202646100
john pork,1.1848760289292700
Baby Gronk,1.1813981731360700
onika burgers,1.1651223087251300
era,1.1467316883184000
Rizz,1.1243204667410700
Aura,1.1232702995044200
Situationship,1.1201928105344700
Jonkler,1.0789582676805600
Coded,1.067501382696620
goated,1.0669620788149700
Fanum tax,1.02571874825643
Beige Flag,0.9452599640812520